0.333,0.284,0.165,0.218
0.412,0.273,0.184,0.130
0.356,0.166,0.282,0.197
0.296,0.342,0.141,0.220
0.319,0.380,0.132,0.170
0.269,0.395,0.177,0.158
0.271,0.377,0.261,0.091
0.408,0.281,0.168,0.143
0.365,0.231,0.181,0.223
0.201,0.511,0.143,0.145
0.390,0.261,0.184,0.165
0.416,0.158,0.129,0.297
0.471,0.228,0.183,0.119
0.298,0.276,0.214,0.212
0.261,0.398,0.192,0.149
0.298,0.358,0.249,0.095
0.379,0.287,0.182,0.152
0.287,0.273,0.313,0.128
0.360,0.187,0.319,0.134
0.298,0.176,0.372,0.154
0.405,0.277,0.152,0.166
0.433,0.244,0.163,0.160
0.230,0.379,0.171,0.220
0.302,0.313,0.211,0.174
0.275,0.293,0.318,0.114
0.350,0.215,0.212,0.222
0.316,0.409,0.111,0.164
0.342,0.394,0.152,0.111
0.183,0.211,0.370,0.236
0.383,0.232,0.223,0.162
0.228,0.421,0.181,0.170
0.236,0.184,0.217,0.363
0.474,0.180,0.156,0.190
0.385,0.191,0.269,0.155
0.358,0.301,0.176,0.164
0.310,0.389,0.147,0.154
0.313,0.335,0.134,0.218
0.365,0.188,0.215,0.232
0.242,0.375,0.213,0.170
0.193,0.466,0.139,0.202
0.319,0.223,0.321,0.136
0.332,0.253,0.216,0.200
0.304,0.165,0.277,0.254
0.218,0.447,0.176,0.159
0.346,0.280,0.147,0.227
0.228,0.376,0.189,0.208
0.344,0.301,0.145,0.210
0.250,0.169,0.213,0.369
0.346,0.197,0.181,0.275
0.366,0.290,0.185,0.158
0.414,0.184,0.161,0.241
0.182,0.361,0.114,0.344
0.135,0.448,0.083,0.334
0.222,0.495,0.107,0.175
0.124,0.514,0.095,0.267
0.202,0.387,0.127,0.283
0.128,0.414,0.088,0.370
0.067,0.421,0.080,0.432
0.203,0.312,0.177,0.308
0.158,0.473,0.078,0.291
0.123,0.440,0.129,0.308
0.237,0.395,0.144,0.224
0.125,0.517,0.090,0.268
